canonicalId,name,description,module,path,install_to_evo
"evo-review-adversarial-general","evo-review-adversarial-general","Perform a Cynical Review and produce a findings report. Use when the user requests a critical review of something","core","_evo/core/tasks/evo-review-adversarial-general/SKILL.md","true"
"evo-review-edge-case-hunter","evo-review-edge-case-hunter","Walk every branching path and boundary condition in content, report only unhandled edge cases. Orthogonal to adversarial review - method-driven not attitude-driven.","core","_evo/core/tasks/evo-review-edge-case-hunter/SKILL.md","true"
"evo-quick-dev-new-preview","evo-quick-dev-new-preview","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the projects existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","bmm","_evo/bmm/workflows/evo-quick-flow/evo-quick-dev-new-preview/SKILL.md","true"
"set-feature","set-feature","Set the active feature context for artifact organization. Creates subfolders in planning-artifacts and implementation-artifacts. Use when the user says ""set feature"", ""switch feature"", ""new feature"", or ""what feature is active""","bmm","_evo/bmm/workflows/set-feature/SKILL.md","true"
